,Country,global_population,Available_quantity_per_capita ,Domestic_availability,propensity_to_import,Avg duties,GDP_per_capita,currency volatility,poultry_share_in_meat_consumption,share_of_urban_pop,logistic score,nb days to start a business,food_price_volatility,Influenza
0,Afghanistan,37171.921,1.53,57.0,0.5087719298245614,20.0,1979.0,6.25,0.17307692307692307,25.754,1.95,8.5,5.097203177265052,1
1,South Africa,57792.518,35.69,2118.0,0.24268177525967893,29.642857142857142,11466.2,1.35,0.5409214913610184,66.85600000000001,3.38,40.0,1.8558064314837321,1
2,Albania,2882.74,16.36,47.0,0.8085106382978723,10.0,13295.4,8.14,0.3094382447512767,61.229,2.66,4.5,2.149786590240168,0
3,Algeria,42228.407999999996,6.38,277.0,0.007220216606498195,30.0,10681.7,9.01,0.2911912368781378,73.189,2.45,18.0,2.1837827734096225,0
4,Germany,83124.418,19.47,1739.0,0.484186313973548,0.0,50922.4,0.02,0.19367353028946582,77.376,4.2,8.0,1.374772708486751,1
5,Angola,30809.787,10.56,319.0,0.8683385579937304,10.0,6198.1,172.53,0.24164759725400456,66.17699999999999,2.05,36.0,23.95677653398052,0
6,Antigua and Barbuda,96.286,54.1,7.0,1.0,3.75,17956.3,0.0,0.43429397126113833,24.506,2.4575,19.0,0.989228937215104,0
7,"Saudi Arabia, Kingdom of",33702.756,43.36,1435.0,0.5031358885017422,20.0,44328.2,0.0,0.6624904507257448,84.065,3.01,10.4,5.852851399570515,0
8,Argentina,44361.15,42.24,1962.0,0.004077471967380225,10.0,19686.5,23.71,0.3620467986628953,91.991,2.89,11.5,39.07101740124618,0
9,Armenia,2951.745,16.06,47.0,0.7446808510638298,24.9,12592.6,3.78,0.31196581196581197,63.218999999999994,2.61,4.0,4.560631889063102,0
10,Australia,24898.152000000002,47.65,1171.0,0.013663535439795047,0.0,48697.8,0.06,0.32311656608123684,86.124,3.75,2.0,3.7574577823541984,1
11,Austria,8891.388,18.2,173.0,0.6358381502890174,0.0,51935.6,0.02,0.17964662915802979,58.515,4.03,21.0,0.812208579486151,0
12,Azerbaijan,9949.537,13.11,129.0,0.20930232558139536,15.0,13699.7,0.27,0.3516630901287554,56.031000000000006,2.448,3.5,2.1540611208762055,0
13,Bahamas,385.63699999999994,43.17,26.0,0.9230769230769231,10.0,30764.1,0.0,0.4575516693163752,83.025,2.53,11.5,1.528938117165903,0
14,Bangladesh,161376.708,1.5,250.0,0.0,25.0,4818.1,3.02,0.052910052910052914,37.405,2.58,19.5,3.803482524563179,1
15,Barbados,286.64099999999996,46.78,17.0,0.11764705882352941,97.6,12870.0,0.0,0.4201544817675588,31.158,2.4575,16.0,4.655747364271457,0
16,Belgium,11482.178,12.65,152.0,2.223684210526316,0.0,48210.0,0.02,0.14247099898637233,98.041,4.04,5.0,1.2975126233986263,1
17,Belize,383.07099999999997,25.69,19.0,0.0,40.0,6119.9,0.0,0.48244131455399064,45.86600000000001,2.6643478260869564,48.0,1.5414487508893575,0
18,"Bolivia, Plurinational State of",11353.142,36.0,429.0,0.002331002331002331,10.0,7931.8,0.0,0.48674959437533805,69.773,2.36,39.5,1.0221345939994066,0
19,Bosnia Herzgovina,3323.925,16.7,55.0,0.18181818181818182,10.0,14339.8,0.04,0.4081133919843597,48.626000000000005,2.81,80.0,1.0991192403327765,0
20,Botswana,2254.0679999999998,3.39,7.0,0.42857142857142855,29.642857142857142,16040.0,0.51,0.12004249291784702,70.172,3.05,48.0,1.2107340991076774,0
21,Brazil,209469.323,48.03,9982.0,0.00030054097375275494,10.0,14064.0,0.72,0.440925364913247,86.824,2.99,16.6,5.486519480040108,1
22,Bulgaria,7051.608,22.06,157.0,0.6878980891719745,25.0,22383.8,0.04,0.3375669472073451,75.347,3.03,23.0,1.155397312317662,0
23,Burkina Faso,19751.466,2.27,46.0,0.0,35.0,2160.5,13.8,0.11903513371788149,29.98,2.62,13.0,3.708614737002677,0
24,Belarus,9452.617,27.98,265.0,0.07924528301886792,25.0,19148.2,0.27,0.28624040920716115,79.044,2.57,8.5,1.791199137767023,0
25,Benin,11485.044,14.4,161.0,0.7639751552795031,35.0,3323.1,13.8,0.380449141347424,47.861000000000004,2.75,8.5,1.5620101204543781,0
26,Cabo Verde,543.7669999999999,17.62,10.0,1.2,30.0,6045.1,2.31,0.40711645101663585,66.195,2.4497435897435897,9.0,0.6751778693453,0
27,Cambodia,16249.792,2.34,38.0,0.2631578947368421,15.0,4191.9,15.69,0.04252226058513538,23.805,2.58,99.0,1.7642168195554109,0
28,Cameroon,25216.267000000003,3.16,82.0,0.0,20.0,3576.3,13.8,0.1051930758988016,56.968,2.6,13.5,1.39179525684988,1
29,Canada,37074.562000000005,39.02,1433.0,0.1270062805303559,9.0,45856.6,0.02,0.37140681515324575,81.482,3.73,1.5,0.845084273904088,1
30,Chile,18729.16,36.36,672.0,0.23065476190476192,6.0,23324.5,56.84,0.3829787234042553,87.64299999999999,3.32,4.0,2.571416039261188,1
31,"Hong Kong, China",7371.73,53.51,280.0,3.2392857142857143,0.0,56154.0,0.04,0.25749482700543763,100.0,3.92,1.5,0.9325213737100159,0
32,"Macao, China",631.636,34.47,19.0,1.2105263157894737,0.0,54797.9,0.04,0.21615350849689596,100.0,3.61,8.5,0.6423202331046849,0
33,China,1427647.7859999998,12.33,18161.0,0.024888497329442212,20.0,16630.3,0.25,0.13041717294451194,60.308,3.61,8.5,4.415983762390548,1
34,Cyprus,1189.265,25.08,38.0,0.3684210526315789,0.0,37655.2,0.02,0.25654664484451717,66.805,3.15,6.0,2.0212769741083525,0
35,Colombia,49661.047999999995,31.99,1643.0,0.04747413268411443,20.0,13441.5,334.3,0.5073750991276764,81.104,2.94,10.0,2.0066784745512356,0
36,Congo,5244.359,21.53,110.0,0.9454545454545454,5.0,3449.1,13.8,0.3100071994240461,66.916,2.49,49.5,3.0277892752575912,0
37,Costa Rica,4999.441,26.52,134.0,0.12686567164179105,104.375,19679.3,21.79,0.36828218303013477,80.07600000000001,2.79,23.0,1.4584308631716192,0
38,Croatia,4156.405,10.77,45.0,0.5333333333333333,16.714285714285715,26465.1,0.2,0.11453791343188345,57.242,3.1,19.5,0.9680842045510524,0
39,Cote d Ivoire,25069.23,2.53,65.0,0.1076923076923077,35.0,5174.1,13.8,0.08338826631509558,51.239,3.08,6.0,1.8464142350380566,1
40,Denmark,5752.126,28.98,167.0,0.7964071856287425,0.0,55938.2,0.16,0.3098802395209581,87.994,3.99,3.5,0.7525210155124431,1
41,Djibouti,958.923,2.68,3.0,1.0,13.0,5481.1,0.0,0.1430859583555793,77.915,2.63,14.0,2.729133143471734,0
42,Dominica,71.625,35.19,4.0,1.0,20.0,9891.3,0.0,0.42356764564275395,70.786,2.4575,12.0,0.328979203162659,0
43,El Salvador,6420.746,20.43,131.0,0.12213740458015267,73.0,8056.5,0.0,0.5497847147470398,72.74600000000001,2.58,16.5,1.275924422874452,0
44,Spain,46692.858,30.39,1497.0,0.13694054776219106,0.0,36215.4,0.02,0.21293441704035876,80.565,3.83,12.5,0.7328065747935163,1
45,Estonia,1322.92,21.26,29.0,0.7241379310344828,10.0,35638.4,0.02,0.2713465220165922,69.051,3.31,3.5,1.5004449893483605,0
46,Eswatini,1136.281,6.46,7.0,0.2857142857142857,29.642857142857142,8392.7,1.36,0.20514449031438553,23.980999999999998,2.4497435897435897,21.5,1.0492197305511854,0
47,Fiji,883.4830000000001,28.02,26.0,0.11538461538461539,32.0,10997.5,0.04,0.3561713486716665,56.75,2.35,40.0,2.0434242340402933,0
48,Finland,5522.576,18.76,111.0,0.14414414414414414,0.0,47260.8,0.02,0.17006617713715894,85.446,3.97,13.0,0.2898745810299239,1
49,Russia,145734.038,30.98,4556.0,0.04960491659350307,25.0,26456.4,4.86,0.3204717078721423,74.587,2.76,10.1,2.1960360620176114,1
50,Gabon,2119.275,29.33,78.0,0.9743589743589743,5.0,14399.9,13.8,0.3253827379631684,89.741,2.16,10.0,0.8089887654552544,0
51,The Gambia,2280.094,3.53,8.0,2.0,35.0,2159.4,3.53,0.09988681380871532,61.27,2.4,8.0,3.1975124890411335,0
52,Ghana,29767.102000000003,7.24,211.0,0.7156398104265402,35.0,5305.0,0.74,0.18445859872611464,56.707,2.57,13.0,6.076575147320615,1
